year,region,age_group,gender,total_insee,total_students
2022,DROM,50-54 ans,Homme,68280,2
2022,DROM,50-54 ans,Non renseigné,0,0
2022,DROM,55-59 ans,Femme,77813,0
2022,DROM,55-59 ans,Homme,70332,0
2022,DROM,55-59 ans,Non renseigné,0,0
2022,DROM,60 ans ou plus,Femme,242969,0
2022,DROM,60 ans ou plus,Homme,201324,0
2022,DROM,60 ans ou plus,Non renseigné,0,0
2022,Grand Est,20-24 ans,Femme,153260,0
2022,Grand Est,20-24 ans,Homme,165884,2
2022,Grand Est,20-24 ans,Non renseigné,0,0
2022,Grand Est,25-29 ans,Femme,151462,2
2022,Grand Est,25-29 ans,Homme,156316,6
2022,Grand Est,25-29 ans,Non renseigné,0,7
2022,Grand Est,30-34 ans,Femme,168006,4
2022,Grand Est,30-34 ans,Homme,166340,10
2022,Grand Est,30-34 ans,Non renseigné,0,11
2022,Grand Est,35-39 ans,Femme,175546,3
2022,Grand Est,35-39 ans,Homme,170597,10
2022,Grand Est,35-39 ans,Non renseigné,0,9
2022,Grand Est,40-44 ans,Femme,173190,2
2022,Grand Est,40-44 ans,Homme,170271,8
2022,Grand Est,40-44 ans,Non renseigné,0,6
2022,Grand Est,45-49 ans,Femme,175778,1
2022,Grand Est,45-49 ans,Homme,174486,2
2022,Grand Est,45-49 ans,Non renseigné,0,2
2022,Grand Est,50-54 ans,Femme,187809,0
2022,Grand Est,50-54 ans,Homme,185608,1
2022,Grand Est,50-54 ans,Non renseigné,0,2
2022,Grand Est,55-59 ans,Femme,193756,1
2022,Grand Est,55-59 ans,Homme,187667,3
2022,Grand Est,55-59 ans,Non renseigné,0,2
2022,Grand Est,60 ans ou plus,Femme,856514,0
2022,Grand Est,60 ans ou plus,Homme,691444,1
2022,Grand Est,60 ans ou plus,Non renseigné,0,0
2022,Hauts-de-France,20-24 ans,Femme,180743,0
2022,Hauts-de-France,20-24 ans,Homme,186248,1
2022,Hauts-de-France,20-24 ans,Non renseigné,0,1
2022,Hauts-de-France,25-29 ans,Femme,167340,1
2022,Hauts-de-France,25-29 ans,Homme,167168,2
2022,Hauts-de-France,25-29 ans,Non renseigné,0,8
2022,Hauts-de-France,30-34 ans,Femme,184679,7
2022,Hauts-de-France,30-34 ans,Homme,179837,17
2022,Hauts-de-France,30-34 ans,Non renseigné,0,10
2022,Hauts-de-France,35-39 ans,Femme,194611,12
2022,Hauts-de-France,35-39 ans,Homme,188234,5
2022,Hauts-de-France,35-39 ans,Non renseigné,0,5
2022,Hauts-de-France,40-44 ans,Femme,190967,4
2022,Hauts-de-France,40-44 ans,Homme,186844,7
2022,Hauts-de-France,40-44 ans,Non renseigné,0,8
2022,Hauts-de-France,45-49 ans,Femme,192319,0
2022,Hauts-de-France,45-49 ans,Homme,190618,4
2022,Hauts-de-France,45-49 ans,Non renseigné,0,4
2022,Hauts-de-France,50-54 ans,Femme,194384,2
2022,Hauts-de-France,50-54 ans,Homme,191932,6
2022,Hauts-de-France,50-54 ans,Non renseigné,0,4
2022,Hauts-de-France,55-59 ans,Femme,194380,0
2022,Hauts-de-France,55-59 ans,Homme,186952,1
2022,Hauts-de-France,55-59 ans,Non renseigné,0,2
2022,Hauts-de-France,60 ans ou plus,Femme,853289,0
2022,Hauts-de-France,60 ans ou plus,Homme,658155,2
2022,Hauts-de-France,60 ans ou plus,Non renseigné,0,0
2022,Normandie,20-24 ans,Femme,88936,0
2022,Normandie,20-24 ans,Homme,94648,0
2022,Normandie,20-24 ans,Non renseigné,0,0
2022,Normandie,25-29 ans,Femme,85394,0
2022,Normandie,25-29 ans,Homme,86310,5
2022,Normandie,25-29 ans,Non renseigné,0,4
2022,Normandie,30-34 ans,Femme,95173,0
2022,Normandie,30-34 ans,Homme,93536,6
2022,Normandie,30-34 ans,Non renseigné,0,5
2022,Normandie,35-39 ans,Femme,101931,1
2022,Normandie,35-39 ans,Homme,98057,3
2022,Normandie,35-39 ans,Non renseigné,0,3
2022,Normandie,40-44 ans,Femme,100250,0
2022,Normandie,40-44 ans,Homme,98210,3
2022,Normandie,40-44 ans,Non renseigné,0,1
2022,Normandie,45-49 ans,Femme,104152,1
2022,Normandie,45-49 ans,Homme,101654,1
2022,Normandie,45-49 ans,Non renseigné,0,0
2022,Normandie,50-54 ans,Femme,110009,1
2022,Normandie,50-54 ans,Homme,107430,0
2022,Normandie,50-54 ans,Non renseigné,0,0
2022,Normandie,55-59 ans,Femme,112927,1
2022,Normandie,55-59 ans,Homme,107398,0
2022,Normandie,55-59 ans,Non renseigné,0,0
2022,Normandie,60 ans ou plus,Femme,545498,0
2022,Normandie,60 ans ou plus,Homme,429398,0
2022,Normandie,60 ans ou plus,Non renseigné,0,0
2022,Nouvelle-Aquitaine,20-24 ans,Femme,153766,0
2022,Nouvelle-Aquitaine,20-24 ans,Homme,164944,0
2022,Nouvelle-Aquitaine,20-24 ans,Non renseigné,0,1
2022,Nouvelle-Aquitaine,25-29 ans,Femme,150191,1
2022,Nouvelle-Aquitaine,25-29 ans,Homme,150388,9
2022,Nouvelle-Aquitaine,25-29 ans,Non renseigné,0,10
2022,Nouvelle-Aquitaine,30-34 ans,Femme,169765,1
2022,Nouvelle-Aquitaine,30-34 ans,Homme,164607,16
2022,Nouvelle-Aquitaine,30-34 ans,Non renseigné,0,8
2022,Nouvelle-Aquitaine,35-39 ans,Femme,180859,3
2022,Nouvelle-Aquitaine,35-39 ans,Homme,173221,11
2022,Nouvelle-Aquitaine,35-39 ans,Non renseigné,0,5
2022,Nouvelle-Aquitaine,40-44 ans,Femme,189218,7
2022,Nouvelle-Aquitaine,40-44 ans,Homme,182141,7
2022,Nouvelle-Aquitaine,40-44 ans,Non renseigné,0,7
2022,Nouvelle-Aquitaine,45-49 ans,Femme,198248,4
2022,Nouvelle-Aquitaine,45-49 ans,Homme,192658,5
2022,Nouvelle-Aquitaine,45-49 ans,Non renseigné,0,6
2022,Nouvelle-Aquitaine,50-54 ans,Femme,209507,2
2022,Nouvelle-Aquitaine,50-54 ans,Homme,201275,3
2022,Nouvelle-Aquitaine,50-54 ans,Non renseigné,0,5
2022,Nouvelle-Aquitaine,55-59 ans,Femme,213254,1
2022,Nouvelle-Aquitaine,55-59 ans,Homme,201205,1
2022,Nouvelle-Aquitaine,55-59 ans,Non renseigné,0,1
2022,Nouvelle-Aquitaine,60 ans ou plus,Femme,1071718,0
2022,Nouvelle-Aquitaine,60 ans ou plus,Homme,855814,1
2022,Nouvelle-Aquitaine,60 ans ou plus,Non renseigné,0,2
2022,Occitanie,20-24 ans,Femme,165787,0
2022,Occitanie,20-24 ans,Homme,173775,2
2022,Occitanie,20-24 ans,Non renseigné,0,0
2022,Occitanie,25-29 ans,Femme,159618,1
2022,Occitanie,25-29 ans,Homme,161274,10
2022,Occitanie,25-29 ans,Non renseigné,0,5
2022,Occitanie,30-34 ans,Femme,176199,5
2022,Occitanie,30-34 ans,Homme,169648,14
2022,Occitanie,30-34 ans,Non renseigné,0,17
2022,Occitanie,35-39 ans,Femme,184360,3
2022,Occitanie,35-39 ans,Homme,175287,12
2022,Occitanie,35-39 ans,Non renseigné,0,9
2022,Occitanie,40-44 ans,Femme,190696,5
2022,Occitanie,40-44 ans,Homme,182583,6
2022,Occitanie,40-44 ans,Non renseigné,0,7
2022,Occitanie,45-49 ans,Femme,192843,1
2022,Occitanie,45-49 ans,Homme,185979,3
2022,Occitanie,45-49 ans,Non renseigné,0,4
2022,Occitanie,50-54 ans,Femme,205697,1
2022,Occitanie,50-54 ans,Homme,197135,0
2022,Occitanie,50-54 ans,Non renseigné,0,1
2022,Occitanie,55-59 ans,Femme,208809,2
2022,Occitanie,55-59 ans,Homme,196716,2
2022,Occitanie,55-59 ans,Non renseigné,0,2
2022,Occitanie,60 ans ou plus,Femme,1002662,0
2022,Occitanie,60 ans ou plus,Homme,812218,1
2022,Occitanie,60 ans ou plus,Non renseigné,0,2
2022,Pays de la Loire,20-24 ans,Femme,104598,0
2022,Pays de la Loire,20-24 ans,Homme,112221,0
2022,Pays de la Loire,20-24 ans,Non renseigné,0,0
2022,Pays de la Loire,25-29 ans,Femme,100624,2
2022,Pays de la Loire,25-29 ans,Homme,102069,4
2022,Pays de la Loire,25-29 ans,Non renseigné,0,4
2022,Pays de la Loire,30-34 ans,Femme,111621,1
2022,Pays de la Loire,30-34 ans,Homme,111092,7
2022,Pays de la Loire,30-34 ans,Non renseigné,0,7
2022,Pays de la Loire,35-39 ans,Femme,119787,1
2022,Pays de la Loire,35-39 ans,Homme,116874,7
2022,Pays de la Loire,35-39 ans,Non renseigné,0,6
2022,Pays de la Loire,40-44 ans,Femme,122673,3
2022,Pays de la Loire,40-44 ans,Homme,121601,0
2022,Pays de la Loire,40-44 ans,Non renseigné,0,5
2022,Pays de la Loire,45-49 ans,Femme,124709,2
2022,Pays de la Loire,45-49 ans,Homme,125732,3
2022,Pays de la Loire,45-49 ans,Non renseigné,0,3
2022,Pays de la Loire,50-54 ans,Femme,125881,1
2022,Pays de la Loire,50-54 ans,Homme,125268,2
2022,Pays de la Loire,50-54 ans,Non renseigné,0,4
2022,Pays de la Loire,55-59 ans,Femme,123747,2
2022,Pays de la Loire,55-59 ans,Homme,120546,1
2022,Pays de la Loire,55-59 ans,Non renseigné,0,0
2022,Pays de la Loire,60 ans ou plus,Femme,597045,0
2022,Pays de la Loire,60 ans ou plus,Homme,477931,0
2022,Pays de la Loire,60 ans ou plus,Non renseigné,0,0
2022,Provence-Alpes-Côte d'Azur,20-24 ans,Femme,133517,0
2022,Provence-Alpes-Côte d'Azur,20-24 ans,Homme,139803,0
2022,Provence-Alpes-Côte d'Azur,20-24 ans,Non renseigné,0,0
2022,Provence-Alpes-Côte d'Azur,25-29 ans,Femme,133189,4
2022,Provence-Alpes-Côte d'Azur,25-29 ans,Homme,130652,4
2022,Provence-Alpes-Côte d'Azur,25-29 ans,Non renseigné,0,8
2022,Provence-Alpes-Côte d'Azur,30-34 ans,Femme,153231,2
2022,Provence-Alpes-Côte d'Azur,30-34 ans,Homme,144254,17
2022,Provence-Alpes-Côte d'Azur,30-34 ans,Non renseigné,0,11
2022,Provence-Alpes-Côte d'Azur,35-39 ans,Femme,161490,1
2022,Provence-Alpes-Côte d'Azur,35-39 ans,Homme,149106,8
2022,Provence-Alpes-Côte d'Azur,35-39 ans,Non renseigné,0,6
2022,Provence-Alpes-Côte d'Azur,40-44 ans,Femme,163862,4
2022,Provence-Alpes-Côte d'Azur,40-44 ans,Homme,154003,6
2022,Provence-Alpes-Côte d'Azur,40-44 ans,Non renseigné,0,8
2022,Provence-Alpes-Côte d'Azur,45-49 ans,Femme,165283,1
2022,Provence-Alpes-Côte d'Azur,45-49 ans,Homme,157331,4
2022,Provence-Alpes-Côte d'Azur,45-49 ans,Non renseigné,0,4
2022,Provence-Alpes-Côte d'Azur,50-54 ans,Femme,177411,1
2022,Provence-Alpes-Côte d'Azur,50-54 ans,Homme,166314,2
2022,Provence-Alpes-Côte d'Azur,50-54 ans,Non renseigné,0,2
2022,Provence-Alpes-Côte d'Azur,55-59 ans,Femme,183572,1
2022,Provence-Alpes-Côte d'Azur,55-59 ans,Homme,168350,2
2022,Provence-Alpes-Côte d'Azur,55-59 ans,Non renseigné,0,1
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,Femme,877683,0
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,Homme,686518,2
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,Non renseigné,0,1
2022,Île-de-France,20-24 ans,Femme,422554,5
2022,Île-de-France,20-24 ans,Homme,410020,1
2022,Île-de-France,20-24 ans,Non renseigné,0,4
2022,Île-de-France,25-29 ans,Femme,438011,12
2022,Île-de-France,25-29 ans,Homme,415647,41
